destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Essel World,Maharashtra,West,19.07283,72.88261,thrilling fun adventurous,thrilling fun adventurous,Amusement Park in Warm climate,Year-round,"Rides, Water games, Dining","Botanical Gardens, Street Food Alleys, City Central Park","Essel World is a renowned amusement park located in maharastra (West). Experiencing a warm climate, it offers a thrilling fun adventurous atmosphere. It is well-suited for a high budget and holds a popularity score of 2.688 out of 5."
Elephanta Caves,Maharashtra,West,19.07283,72.88261,interesting scenic engaging,interesting scenic engaging,Monument in Warm climate,Year-round,"Sightseeing, Walking, Photography","Street Food Alleys, Handicraft Markets, Historical Monuments","Elephanta Caves is a renowned monument located in maharastra (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.72 out of 5."
Imagicaa,Maharashtra,West,18.75275,73.40575,thrilling fun adventurous,thrilling fun adventurous,Amusement Park in Warm climate,Year-round,"Rides, Water games, Dining","Regional Art Gallery, Traditional Bazaars, City Central Park","Imagicaa is a renowned amusement park located in maharastra (West). Experiencing a warm climate, it offers a thrilling fun adventurous atmosphere. It is well-suited for a high budget and holds a popularity score of 1.22 out of 5."
Bangalore Palace,Karnataka,South,12.97194,77.59369,interesting scenic engaging,interesting scenic engaging,Palace in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Hampi Ruins, Bannerghatta Park, Vidhana Soudha","Bangalore Palace is a renowned palace located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.88 out of 5."
Lalbagh Botanical Garden,Karnataka,South,12.97194,77.59369,interesting scenic engaging,interesting scenic engaging,Botanical Garden in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Brindavan Gardens, Chamundi Hill, Nandi Hills","Lalbagh Botanical Garden is a renowned botanical garden located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.24 out of 5."
Cubbon Park,Karnataka,South,12.97194,77.59369,interesting scenic engaging,interesting scenic engaging,Park in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Jog Falls Viewpoint, Hampi Ruins, Bannerghatta Park","Cubbon Park is a renowned park located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.168 out of 5."
Vidhana Soudha,Karnataka,South,12.97194,77.59369,interesting scenic engaging,interesting scenic engaging,Government Building in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Jog Falls Viewpoint, Mysore Palace, Lalbagh Botanical Garden","Vidhana Soudha is a renowned government building located in karnataka (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.08 out of 5."
ISKCON Temple Bangalore,Karnataka,South,12.97194,77.59369,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Vidhana Soudha, Lalbagh Botanical Garden, Nandi Hills","ISKCON Temple Bangalore is a renowned temple located in karnataka (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.216 out of 5."
Charminar,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Landmark in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Old City Quarters, Regional Art Gallery, Traditional Bazaars","Charminar is a renowned landmark located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.54 out of 5."
Golconda Fort,Telangana,South,17.38405,78.45636,historic majestic grand,historic majestic grand,Fort in Tropical climate,Year-round,"Heritage walk, Photography, Exploring","Historical Monuments, Street Food Alleys, Handicraft Markets","Golconda Fort is a renowned fort located in telangana (South). Experiencing a tropical climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.12 out of 5."
Hussain Sagar Lake,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Lake in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Old City Quarters, Handicraft Markets","Hussain Sagar Lake is a renowned lake located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.78 out of 5."
Ramoji Film City,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Film Studio in Tropical climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Regional Art Gallery, Handicraft Markets","Ramoji Film City is a renowned film studio located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.8200000000000003 out of 5."
Salar Jung Museum,Telangana,South,17.38405,78.45636,educational historic quiet,educational historic quiet,Museum in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Spiritual Centers, Regional Art Gallery","Salar Jung Museum is a renowned museum located in telangana (South). Experiencing a tropical climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9080000000000004 out of 5."
Qutb Shahi Tombs,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Tombs in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Old City Quarters, Spiritual Centers","Qutb Shahi Tombs is a renowned tombs located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.72 out of 5."
Birla Mandir,Telangana,South,17.38405,78.45636,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Tropical climate,Year-round,"Praying, Meditation, Sightseeing","Street Food Alleys, Historical Monuments, City Central Park","Birla Mandir is a renowned temple located in telangana (South). Experiencing a tropical climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.984 out of 5."
Chowmahalla Palace,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Palace in Tropical climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Botanical Gardens, Traditional Bazaars","Chowmahalla Palace is a renowned palace located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8200000000000003 out of 5."
Nehru Zoological Park,Telangana,South,17.38405,78.45636,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Tropical climate,Year-round,"Wildlife viewing, Walking, Photography","Local Heritage Museum, Traditional Bazaars, City Central Park","Nehru Zoological Park is a renowned zoo located in telangana (South). Experiencing a tropical climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.864 out of 5."
Lumbini Park,Telangana,South,17.38405,78.45636,interesting scenic engaging,interesting scenic engaging,Park in Tropical climate,Year-round,"Sightseeing, Walking, Photography","City Central Park, Old City Quarters, Traditional Bazaars","Lumbini Park is a renowned park located in telangana (South). Experiencing a tropical climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.752 out of 5."
Victoria Memorial,West Bengal,East,22.54111111,88.33777778,educational historic quiet,educational historic quiet,Museum in Humid climate,Year-round,"Sightseeing, Walking, Photography","Darjeeling Mall Road, Eco Park, Belur Math","Victoria Memorial is a renowned museum located in west bengal (East). Experiencing a humid climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 3.052 out of 5."
Howrah Bridge,West Bengal,East,22.54111111,88.33777778,interesting scenic engaging,interesting scenic engaging,Bridge in Humid climate,Year-round,"Sightseeing, Walking, Photography","Science City, Kalighat Temple, Victoria Memorial","Howrah Bridge is a renowned bridge located in west bengal (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.24 out of 5."
Indian Museum,West Bengal,East,22.54111111,88.33777778,educational historic quiet,educational historic quiet,Museum in Humid climate,Year-round,"Sightseeing, Walking, Photography","Howrah Bridge, Science City, Kalighat Temple","Indian Museum is a renowned museum located in west bengal (East). Experiencing a humid climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.832 out of 5."
Dakshineswar Kali Temple,West Bengal,East,22.54111111,88.33777778,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Eco Park, Kalighat Temple, Howrah Bridge","Dakshineswar Kali Temple is a renowned temple located in west bengal (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.148 out of 5."
Kalighat Kali Temple,West Bengal,East,22.54111111,88.33777778,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Eden Gardens, Sundarbans Gateway, Dakshineswar Temple","Kalighat Kali Temple is a renowned temple located in west bengal (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8400000000000003 out of 5."
Eden Gardens,West Bengal,East,22.54111111,88.33777778,interesting scenic engaging,interesting scenic engaging,Cricket Ground in Humid climate,Year-round,"Sightseeing, Walking, Photography","Belur Math, Victoria Memorial, Kalighat Temple","Eden Gardens is a renowned cricket ground located in west bengal (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.5 out of 5."
Alipore Zoological Gardens,West Bengal,East,22.54111111,88.33777778,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Humid climate,Year-round,"Wildlife viewing, Walking, Photography","Belur Math, Dakshineswar Temple, Eco Park","Alipore Zoological Gardens is a renowned zoo located in west bengal (East). Experiencing a humid climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8439999999999994 out of 5."
Science City Kolkata,West Bengal,East,22.54111111,88.33777778,interesting scenic engaging,interesting scenic engaging,Science in Humid climate,Year-round,"Sightseeing, Walking, Photography","Howrah Bridge, Eden Gardens, Belur Math","Science City Kolkata is a renowned science located in west bengal (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.992 out of 5."
Belur Math,West Bengal,East,22.54111111,88.33777778,interesting scenic engaging,interesting scenic engaging,Site in Humid climate,Year-round,"Sightseeing, Walking, Photography","Eco Park, Indian Museum, Dakshineswar Temple","Belur Math is a renowned site located in west bengal (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.008 out of 5."
Marble Palace,West Bengal,East,22.54111111,88.33777778,interesting scenic engaging,interesting scenic engaging,Palace in Humid climate,Year-round,"Sightseeing, Walking, Photography","Kalighat Temple, Dakshineswar Temple, Belur Math","Marble Palace is a renowned palace located in west bengal (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.68 out of 5."
Calangute Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Local Heritage Museum, Street Food Alleys","Calangute Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.744 out of 5."
Basilica of Bom Jesus,Goa,West,15.49574,73.82624,interesting scenic engaging,interesting scenic engaging,Church in Warm climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Local Heritage Museum, Traditional Bazaars","Basilica of Bom Jesus is a renowned church located in goa (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.936 out of 5."
Fort Aguada,Goa,West,15.49574,73.82624,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Street Food Alleys, Regional Art Gallery, Historical Monuments","Fort Aguada is a renowned fort located in goa (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Dudhsagar Falls,Goa,West,15.49574,73.82624,interesting scenic engaging,interesting scenic engaging,Waterfall in Warm climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Historical Monuments, Traditional Bazaars","Dudhsagar Falls is a renowned waterfall located in goa (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.88 out of 5."
Anjuna Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Botanical Gardens, Handicraft Markets","Anjuna Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.712 out of 5."
Chapora Fort,Goa,West,15.49574,73.82624,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Spiritual Centers, City Central Park, Handicraft Markets","Chapora Fort is a renowned fort located in goa (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.596 out of 5."
Se Cathedral,Goa,West,15.49574,73.82624,interesting scenic engaging,interesting scenic engaging,Church in Warm climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Spiritual Centers, City Central Park","Se Cathedral is a renowned church located in goa (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.72 out of 5."
Baga Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Spiritual Centers, Old City Quarters","Baga Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.84 out of 5."
Arambol Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Historical Monuments, Spiritual Centers, Handicraft Markets","Arambol Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8 out of 5."
Palolem Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Old City Quarters, Street Food Alleys","Palolem Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.868 out of 5."
Colva Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Botanical Gardens, Spiritual Centers, Handicraft Markets","Colva Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.62 out of 5."
Miramar Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Historical Monuments, Spiritual Centers","Miramar Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.64 out of 5."
Aguada Beach,Goa,West,15.49574,73.82624,relaxing sunny tropical calm,relaxing sunny calm,Beach in Warm climate,Year-round,"Sightseeing, Walking, Photography","Traditional Bazaars, Street Food Alleys, Local Heritage Museum","Aguada Beach is a renowned beach located in goa (West). Experiencing a warm climate, it offers a relaxing sunny tropical calm atmosphere. It is well-suited for a low budget and holds a popularity score of 2.704 out of 5."
Dr. Salim Ali Bird Santuary,Goa,West,15.49574,73.82624,interesting scenic engaging,interesting scenic engaging,Bird Sanctuary in Warm climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Spiritual Centers, Historical Monuments","Dr. Salim Ali Bird Santuary is a renowned bird sanctuary located in goa (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.352 out of 5."
Sabarmati Ashram,Gujarat,West,23.02579,72.58727,interesting scenic engaging,interesting scenic engaging,Historical in Warm climate,Year-round,"Sightseeing, Walking, Photography","Somnath Temple, Kankaria Lake, Laxmi Vilas Palace","Sabarmati Ashram is a renowned historical located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Dwarkadhish Temple,Gujarat,West,22.23944,68.96778,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Sabarmati Ashram, Statue of Unity, Sun Temple Modhera","Dwarkadhish Temple is a renowned temple located in gujarat (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.056 out of 5."
Gir National Park,Gujarat,West,21.25,70.33333,wildlife adventurous green,wildlife adventurous green,National Park in Warm climate,Year-round,"Sightseeing, Walking, Photography","Sabarmati Ashram, Dwarkadhish Temple, Sun Temple Modhera","Gir National Park is a renowned national park located in gujarat (West). Experiencing a warm climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a high budget and holds a popularity score of 2.732 out of 5."
White Desert,Gujarat,West,23.25397,69.66928,interesting scenic engaging,interesting scenic engaging,Site in Warm climate,Year-round,"Sightseeing, Walking, Photography","Laxmi Vilas Palace, Statue of Unity, Somnath Temple","White Desert is a renowned site located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.808 out of 5."
Laxmi Vilas Palace,Gujarat,West,22.29941,73.20812,interesting scenic engaging,interesting scenic engaging,Palace in Warm climate,Year-round,"Sightseeing, Walking, Photography","Rann of Kutch Salt Flats, Statue of Unity, Somnath Temple","Laxmi Vilas Palace is a renowned palace located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.708 out of 5."
